44.945,23511,1539955819698
45,27808,1539955822995
45.05,24438,1539955844703
44.995,21645,1539955846915
44.94,9042,1539955871023
44.94,22014,1539955890866
44.93,13587,1539955900971
44.87,0,1539955906031
44.88,5482,1539955908316
44.83,10408,1539955923047
44.93,20232,1539955928499
44.895,25609,1539955945228
44.875,7485,1539955966203
44.845,7052,1539955979111
44.96,22757,1539955988831
44.95,10638,1539955989544
44.93,21587,1539955995594
44.94,4899,1539956000381
44.93,9043,1539956007445
44.93,10661,1539956016027
44.955,3540,1539956019400
44.96,25634,1539956036004
44.945,2742,1539956041401
44.95,5143,1539956046589
44.94,16603,1539956054311
44.955,15485,1539956060285
44.92,24643,1539956086907
44.91,1175,1539956092999
44.89,15759,1539956096247
44.88,17475,1539956112069
44.865,11001,1539956123145
44.89,10724,1539956140353
44.89,9795,1539956143599
44.89,16146,1539956149370
44.885,0,1539956154191
44.89,23869,1539956165142
44.87,5167,1539956171223
44.88,14674,1539956173466
44.915,14136,1539956187452
44.92,36392,1539956197880
44.905,2333,1539956207058
44.955,29240,1539956217185
44.955,5985,1539956221931
44.99,24986,1539956233006
44.995,5586,1539956244243
44.99,10893,1539956249422
45,3149,1539956252064
45,11479,1539956256360
44.98,9393,1539956267583
44.965,1750,1539956272763
44.965,6872,1539956277622
44.96,15360,1539956283402
44.97,8449,1539956300764
44.975,4135,1539956317141
44.97,8097,1539956326313
44.97,0,1539956330859
44.97,7885,1539956341599
44.98,5119,1539956344119
44.985,30167,1539956354975
44.98,2446,1539956356336
44.975,8888,1539956363474
45.005,26045,1539956369730
45.005,6036,1539956374910
44.985,25928,1539956382099
44.99,7590,1539956389178
44.985,21301,1539956391201
44.97,38158,1539956395719
44.97,13441,1539956400255
44.995,26881,1539956427403
44.99,5413,1539956436993
44.975,1389,1539956442668
44.985,1379,1539956446773
44.99,1367,1539956452455
44.985,1357,1539956457797
44.99,2750,1539956461670
44.99,8991,1539956464910
44.995,6306,1539956469934
45.005,13247,1539956473106
45,4851,1539956478501
44.99,8544,1539956487172
44.975,1942,1539956490673
45.005,26571,1539956497941
45,12847,1539956507798
44.99,6221,1539956523319
